ID,Wind speed in km/h,Waterfowl population,Wave Action,Turbidity of water (NTUs)
447,NA,75,High,200
448,20,156,Moderate,8.8
449,5,150,Low,8
450,15,15,Low,1.8
451,15,NA,Low,1.9
452,17,100,Low,25.3
453,11,15,Low,0.8
454,11,260,None,0.4
455,8,75,Low,1.4
456,8,NA,Moderate,5.7
457,4,75,Low,1.3
458,NA,NA,None,NA
459,NA,30,None,0.2
460,NA,36,Low,5
461,NA,NA,None,NA
462,NA,10,Low,5.2
463,NA,NA,Low,5.4
464,NA,12,None,5.5
465,NA,8,Low,4.3
466,15,29,Low,6
467,10,12,Low,1.8
468,NA,9,Low,0.5
469,17,25,Low,0.8
470,10,18,Low,1.7
471,5,9,Moderate,3.3
472,20,8,Low,1.6
473,17,15,Low,2.5
474,4,30,Low,3
475,17,15,Low,3.2
476,18,30,Low,2.9
477,13,25,Low,2.3
478,8,NA,Low,1.4
479,8,25,Moderate,1.5
480,10,NA,Low,1.4
481,22,7,Low,10.5
482,22,12,Low,0.4
483,22,25,Moderate,0.4
484,22,NA,High,0.8
485,22,10,High,4.4
486,22,NA,High,1.8
487,10,6,High,1
488,10,220,Low,4.6
489,10,35,Moderate,4.4
490,10,90,Moderate,4.1
491,NA,NA,None,NA
492,NA,NA,None,NA
493,NA,NA,None,NA
494,NA,NA,None,NA
495,NA,NA,None,NA
496,NA,NA,None,NA
497,NA,NA,None,NA
498,NA,NA,None,NA
499,NA,NA,None,NA
500,NA,NA,None,NA
501,NA,NA,None,NA
502,NA,NA,None,NA
503,NA,NA,None,NA
504,NA,NA,None,NA
505,NA,NA,None,NA
506,NA,NA,None,NA
507,NA,NA,None,NA
508,NA,NA,None,NA
509,NA,NA,None,NA
510,NA,NA,None,NA
511,NA,NA,None,NA
512,NA,NA,None,NA
513,NA,NA,None,NA
514,NA,NA,None,NA
515,NA,NA,None,NA
516,NA,NA,None,NA
517,NA,NA,None,NA
518,NA,NA,None,NA
519,NA,NA,None,NA
520,NA,NA,None,NA
521,NA,NA,None,NA
522,NA,10,Low,NA
523,NA,NA,None,NA
524,NA,NA,None,NA
525,NA,NA,None,NA
526,NA,120,Moderate,NA
527,NA,40,Moderate,NA
528,NA,20,Low,NA
529,NA,NA,None,NA
530,NA,45,None,NA
531,NA,85,None,NA
532,NA,30,Moderate,NA
533,NA,72,Low,NA
534,NA,NA,None,NA
535,NA,NA,Low,NA
536,NA,25,Low,NA
537,NA,NA,None,NA
538,NA,NA,None,NA
539,NA,10,Moderate,NA
540,NA,NA,High,NA
541,NA,2,Low,NA
542,NA,NA,Moderate,NA
543,NA,NA,None,NA
544,NA,5,Low,NA
545,NA,10,Moderate,NA
546,NA,NA,Low,NA
547,NA,3,High,NA
548,NA,15,Low,NA
549,NA,NA,None,NA
550,NA,NA,None,NA
551,NA,50,Low,NA
552,NA,30,Moderate,NA
553,NA,NA,Low,NA
554,NA,15,Low,NA
555,NA,13,Low,NA
556,NA,NA,None,NA
557,NA,NA,None,NA
558,NA,NA,None,NA
559,NA,NA,None,NA
560,NA,NA,None,NA
561,NA,NA,None,NA
562,NA,5,Moderate,NA
563,24,NA,None,NA
564,NA,5,Moderate,NA
565,NA,NA,None,NA
566,NA,NA,None,NA
567,NA,20,Moderate,NA
568,NA,NA,None,NA
569,NA,10,Low,NA
570,NA,NA,Low,NA
571,NA,12,Low,NA
572,NA,NA,Low,NA
573,NA,42,Moderate,NA
574,NA,NA,None,NA
575,NA,NA,None,NA
576,9,2,None,0.3
577,9,100,Low,NA
578,9,20,Low,0.5
579,9,NA,Low,0.4
580,9,30,Low,0.7
581,9,10,Low,0.6
582,9,12,Low,0.4
583,9,70,Low,1.5
584,9,95,Low,1.7
585,9,45,Low,1.4
586,NA,NA,None,NA
587,NA,45,None,NA
588,24,28,Low,NA
589,NA,5,Low,3.1
590,NA,100,Low,3.5
591,NA,60,Low,3.6
592,NA,76,Low,3.7
593,NA,NA,None,NA
594,NA,160,None,NA
595,NA,116,None,2.9
596,NA,65,Low,2.6
597,NA,300,Low,2.7
598,NA,150,Low,3.3
599,NA,NA,None,NA
600,NA,NA,None,NA
601,NA,37,Moderate,2.1
602,NA,100,Low,4.2
603,NA,260,None,3.5
604,NA,31,Low,3.1
605,NA,175,Low,2.2
606,NA,115,Low,NA
607,NA,200,None,NA
608,5,50,Low,2.5
609,NA,45,Low,2.5
610,NA,160,Low,2.6
611,NA,NA,None,NA
612,NA,NA,None,NA
613,NA,NA,None,NA
614,NA,200,Low,2.2
615,NA,NA,None,NA
616,NA,NA,None,NA
617,NA,NA,None,NA
618,NA,NA,None,NA
619,NA,NA,None,NA
620,NA,NA,None,NA
621,NA,NA,None,NA
622,NA,NA,None,NA
623,NA,NA,None,NA
624,NA,NA,None,NA
625,NA,NA,None,NA
626,NA,NA,None,NA
627,NA,NA,None,NA
628,NA,NA,None,NA
629,NA,NA,None,NA
630,NA,NA,None,NA
631,NA,NA,None,NA
632,NA,NA,None,NA
633,NA,NA,None,NA
634,NA,NA,None,NA
635,NA,NA,None,NA
636,NA,NA,None,NA
637,NA,NA,None,NA
638,NA,NA,None,NA
639,NA,NA,None,NA
640,NA,NA,None,NA
641,NA,NA,None,NA
642,NA,NA,None,NA
643,NA,NA,None,NA
644,NA,205,Low,1.3
645,NA,NA,None,NA
646,NA,NA,None,NA
647,NA,NA,None,NA
648,NA,NA,None,NA
649,NA,NA,None,NA
650,NA,NA,None,NA
651,NA,NA,None,NA
652,NA,50,None,NA
653,NA,110,Low,NA
654,NA,150,Low,NA
655,NA,NA,None,NA
656,NA,NA,None,NA
657,NA,NA,None,NA
658,NA,100,Low,4.1
659,NA,30,Low,NA
660,NA,25,Low,1.3
661,NA,NA,None,NA
662,NA,10,None,NA
663,NA,60,None,NA
664,NA,85,Low,NA
665,NA,62,Low,2
666,NA,NA,Low,NA
667,NA,50,Low,4.2
668,NA,110,Low,2
669,NA,NA,None,NA
670,NA,NA,None,NA
671,NA,85,Low,1.7
672,NA,NA,High,1.1
673,NA,65,Low,1.6
674,NA,7,Moderate,1.8
675,NA,NA,None,NA
676,NA,120,Low,3.1
677,NA,55,Low,3.5
678,NA,35,Low,1.4
679,NA,75,High,1.5
680,NA,60,None,2.3
681,NA,65,Low,1.3
682,NA,NA,None,3.2
683,NA,NA,None,4.6
684,NA,34,None,2.8
685,NA,35,Low,2.3
686,NA,48,Low,2
687,NA,45,Low,1.9
688,NA,110,Low,1.8
689,NA,NA,None,NA
690,NA,NA,None,NA
691,NA,NA,None,NA
692,NA,NA,None,NA
693,NA,NA,None,NA
694,NA,15,Low,NA
695,24,32,Moderate,NA
696,NA,NA,None,NA
697,NA,30,Moderate,NA
698,NA,15,Low,NA
699,NA,45,Moderate,NA
700,NA,NA,None,NA
701,NA,25,Low,NA
702,NA,45,Low,NA
703,NA,35,Low,NA
704,NA,100,Low,NA
705,NA,NA,Low,NA
706,NA,NA,None,NA
707,NA,NA,None,NA
708,NA,7,High,NA
709,NA,20,Moderate,NA
710,NA,40,Low,NA
711,NA,105,Low,NA
712,NA,21,Low,NA
713,NA,125,Low,NA
714,NA,36,None,NA
715,5,30,Low,NA
716,NA,100,Moderate,NA
717,NA,45,High,NA
718,NA,NA,None,NA
719,NA,NA,None,NA
720,NA,NA,None,NA
721,NA,140,Low,NA
722,NA,NA,None,NA
723,NA,NA,None,NA
724,NA,NA,None,NA
725,NA,NA,None,NA
726,NA,NA,None,NA
727,NA,NA,None,NA
728,NA,NA,None,NA
729,NA,NA,None,NA
730,NA,NA,None,NA
731,NA,NA,None,NA
732,NA,NA,None,NA
733,NA,NA,None,NA
734,NA,NA,None,NA
735,NA,NA,None,NA
736,NA,NA,None,NA
737,NA,NA,None,NA
738,NA,NA,None,NA
739,NA,NA,None,NA
740,NA,NA,None,NA
741,NA,NA,None,NA
742,NA,NA,None,NA
743,NA,NA,None,NA
744,NA,NA,None,NA
745,NA,NA,None,NA
746,NA,NA,None,NA
747,NA,NA,None,NA
748,NA,NA,None,NA
749,NA,NA,None,NA
750,NA,NA,None,NA
751,NA,NA,None,NA
752,NA,NA,None,NA
753,NA,NA,None,NA
754,NA,NA,None,NA
755,NA,NA,None,NA
756,NA,NA,None,NA
757,NA,NA,None,NA
758,NA,NA,None,NA
759,NA,NA,None,NA
760,NA,NA,None,NA
761,NA,67,None,NA
762,NA,NA,None,NA
763,NA,NA,None,NA
764,NA,NA,None,NA
765,NA,5,Moderate,3.3
766,NA,20,Moderate,NA
767,NA,12,Low,NA
768,NA,NA,None,NA
769,4,NA,None,NA
770,4,NA,None,NA
771,4,NA,None,NA
772,4,NA,None,NA
773,4,NA,None,NA
774,4,NA,None,NA
775,4,30,Low,2
776,4,70,Low,1.7
777,4,50,Low,4
778,4,NA,Low,1.5
779,NA,35,None,NA
780,NA,NA,None,NA
781,NA,NA,None,NA
782,NA,45,Moderate,NA
783,NA,28,Low,NA
784,NA,NA,Low,NA
785,NA,30,Low,NA
786,NA,NA,None,NA
787,NA,NA,None,NA
788,NA,40,Moderate,NA
789,NA,NA,Moderate,NA
790,NA,2,Low,NA
791,NA,10,Moderate,NA
792,NA,NA,None,NA
793,NA,45,Low,NA
794,NA,30,Low,NA
795,NA,48,Low,NA
796,NA,25,High,NA
797,NA,5,Low,NA
798,NA,NA,None,NA
799,NA,NA,None,NA
800,NA,NA,None,NA
801,NA,8,None,NA
802,NA,10,Low,NA
803,NA,25,Low,NA
804,NA,5,Low,NA
805,NA,10,Low,NA
806,NA,NA,None,NA
807,NA,NA,None,NA
808,NA,NA,None,NA
809,NA,NA,None,NA
810,NA,NA,None,NA
811,NA,10,Low,NA
812,24,NA,None,NA
813,NA,10,Low,NA
814,NA,NA,None,NA
815,NA,NA,None,NA
816,NA,45,Moderate,NA
817,NA,NA,None,NA
818,NA,10,None,NA
819,NA,6,Low,NA
820,NA,22,Low,NA
821,NA,NA,Low,NA
822,NA,NA,Low,NA
823,NA,NA,None,NA
824,NA,NA,None,NA
825,NA,NA,Moderate,NA
826,NA,NA,Moderate,NA
827,NA,NA,Low,NA
828,NA,12,Low,NA
829,NA,NA,Low,NA
830,NA,20,Low,NA
831,NA,NA,Low,NA
832,5,NA,Low,NA
833,NA,NA,Low,NA
834,NA,25,High,NA
835,NA,NA,None,NA
836,NA,NA,None,NA
837,NA,NA,None,NA
838,NA,NA,Moderate,NA
839,NA,NA,None,NA
840,NA,NA,None,NA
841,NA,NA,None,NA
842,NA,NA,None,NA
843,NA,NA,None,NA
844,NA,NA,None,NA
845,NA,NA,None,NA
846,NA,NA,None,NA
847,NA,NA,None,NA
848,NA,35,Low,1
849,NA,35,Low,6.4
850,15,15,Low,4.5
851,NA,58,Low,3.8
852,NA,32,Low,NA
853,NA,45,Low,NA
854,11,70,Moderate,40
855,NA,NA,Low,7.2
856,15,80,Low,4.2
857,10,200,Moderate,NA
858,8,15,Low,9.2
859,NA,15,Low,4.2
860,20,55,High,117
861,5,31,Low,176
862,15,45,Low,2.7
863,13,45,Moderate,11.2
864,13,72,Moderate,32
865,5,104,Low,6.3
866,27,92,High,42.8
867,5,12,Low,10.8
868,10,65,Low,2.5
869,15,50,Low,2.8
870,20,200,High,214.6
871,NA,34,Low,28.8
872,11,50,Low,2.1
873,15,55,Low,4.2
874,25,NA,Low,2.6
875,11,51,Low,1.4
876,18,200,Moderate,9.8
877,18,2,Low,1.4
878,17,9,Moderate,1.2
879,11,21,Low,2.4
880,18,50,Low,2.6
881,NA,40,Low,3.9
882,11,25,Low,24.8
883,15,40,Low,2
884,24,30,Low,2.3
885,22,80,Low,1.7
886,5,60,Low,2.4
887,15,17,Low,2.4
888,9,30,Low,2.1
889,15,50,Low,1.1
890,5,55,Low,2
891,5,45,Low,1.1
892,4,25,Low,1.3
893,4,180,Low,4.7
894,NA,45,Low,1.6
895,5,10,Low,3
896,18,50,Low,1.4
897,12,45,Low,25.1
898,14,25,Low,12
899,4,32,Low,4.8
900,9,41,Low,2.1
901,26,24,Low,1.9
902,18,12,Low,1.5
903,15,24,Low,8.9
904,10,7,Low,1.2
905,NA,21,Low,1.1
906,17,80,Low,0.9
907,10,110,High,16.1
908,5,50,Low,2.4
909,20,70,Low,7.5
910,17,17,Low,1.5
911,4,60,Low,1.6
912,17,90,High,5.3
913,18,90,Low,39.4
914,13,40,Low,1.4
915,8,30,Low,1.9
916,8,22,High,5.2
917,10,15,Low,2.2
918,NA,NA,None,NA
919,NA,15,Low,8
920,NA,12,Low,5.2
921,15,5,Low,1.6
922,NA,30,Low,3.8
923,NA,60,Low,5.4
924,NA,20,Low,NA
925,11,20,Moderate,17.4
926,NA,30,Low,3.6
927,15,15,Low,3
928,10,40,Low,NA
929,8,19,Low,1.4
930,NA,28,Low,10
931,20,20,High,110
932,5,26,Low,9.7
933,15,17,Low,7.1
934,13,20,Moderate,8.4
935,13,81,Low,8.4
936,5,200,Low,3.3
937,27,68,Moderate,11.6
938,5,31,Low,5.5
939,10,50,Low,3.2
940,15,110,Low,2.5
941,20,60,Moderate,24.7
942,NA,31,Low,1.8
943,11,15,Low,1.3
944,15,40,Low,5.1
945,25,120,Low,1.7
946,11,44,Low,0.9
947,18,50,Low,2.3
948,18,30,Low,1.8
949,17,24,Moderate,8.3
950,11,84,Low,1.4
951,18,140,Low,1.9
952,NA,80,Low,1.1
953,11,70,Low,4.2
954,15,20,Low,2.7
955,24,50,Low,3
956,22,30,Low,1.9
957,5,90,Low,2.1
958,15,21,Low,2.9
959,9,20,Low,2.2
960,15,90,Low,1.2
961,5,100,Low,1.4
962,5,70,Low,1
963,4,15,Low,1.2
964,4,9,Low,1.7
965,NA,75,Low,1.5
966,5,95,Low,2.1
967,18,60,Low,2.4
968,12,55,Low,1.4
969,14,36,Low,1.6
970,4,45,Low,1
971,9,32,Low,5.6
972,26,38,Low,40.2
973,18,70,Low,65.4
974,15,34,Low,1.5
975,10,24,Low,1.6
976,NA,7,Low,1.3
977,17,25,Low,0.6
978,10,110,Low,61
979,5,70,Low,6.1
980,20,40,Low,2.2
981,17,24,Low,1.8
982,4,45,Low,2
983,17,10,Low,4.1
984,18,50,Low,1.2
985,13,15,Low,1.8
986,8,40,Low,1.3
987,8,30,High,5.6
988,10,25,Low,2.8
989,NA,NA,None,NA
990,NA,70,Low,1
991,NA,30,Low,4.6
992,15,27,Low,4.1
993,NA,16,Low,4.5
994,NA,36,Low,5.6
995,NA,NA,Low,NA
996,11,20,Moderate,7
997,NA,15,Low,1.2
998,15,10,Low,0.9
999,10,5,Low,NA
1000,8,5,None,1.7
1001,NA,16,Low,3.8
1002,20,35,High,100
1003,5,20,Low,8.5
1004,15,20,Low,2
1005,13,17,Moderate,5.6
1006,13,59,Low,8.4
1007,5,30,Low,2.8
1008,27,36,High,11.7
1009,5,24,Low,7.4
1010,10,40,Low,4.2
1011,15,15,Low,2.5
1012,20,NA,Moderate,23.8
1013,NA,22,Low,22
1014,11,12,Low,0.9
1015,15,15,Low,3.6
1016,25,15,Low,2.8
1017,11,20,Low,1
1018,18,60,Low,6.9
1019,18,10,Low,1.9
1020,17,40,Moderate,1.5
1021,11,17,Low,1.2
1022,18,30,Low,2.8
1023,NA,50,Low,1.8
1024,11,5,Low,2
1025,15,25,Low,1
1026,24,35,Low,2
1027,22,40,Low,1.2
1028,5,30,Low,2
1029,15,25,Low,1.2
1030,9,50,Low,1.1
1031,15,20,Low,1.7
1032,5,25,Low,1.4
1033,5,50,Low,0.9
1034,4,50,Low,1.1
1035,4,315,Low,1.3
1036,NA,25,Low,1.3
1037,5,40,Low,1.8
1038,18,45,Low,2
1039,12,23,Low,1.9
1040,14,68,Low,2.3
1041,4,40,Low,2.7
1042,9,21,Low,1.9
1043,26,28,Low,9.8
1044,18,24,Low,4.9
1045,15,29,Low,3.8
1046,10,21,Low,1.4
1047,NA,19,Low,0.7
1048,17,36,Low,1.5
1049,10,35,Moderate,27
1050,5,60,Low,2.3
1051,20,120,Low,3.3
1052,17,29,Low,2.1
